subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S11,377,0.9257294429708223,0.8987699993676089,0.9132478632478632,40,per_n
S13,377,0.9151193633952255,0.887415529771771,0.9003831417624522,40,per_n
S14,377,0.7294429708222812,0.6031429836210713,0.59164472007476,40,per_n
S15,378,0.8597883597883598,0.894,0.854955365869551,40,per_n
S16,375,0.8853333333333333,0.9139999999999999,0.8795752085496,40,per_n
S17,386,0.805699481865285,0.7222222222222222,0.7427009732035729,40,per_n
S2,355,0.7183098591549296,0.5575221238938053,0.5175581648184387,40,per_n
S3,361,0.7229916897506925,0.576271186440678,0.5470287090945594,40,per_n
S4,364,0.9752747252747253,0.9817813765182186,0.9722031309660175,40,per_n
S5,374,0.9224598930481284,0.8781512605042017,0.9037203398105653,40,per_n
S6,372,0.9865591397849462,0.9814790425076554,0.9845892539044699,40,per_n
S7,371,0.9460916442048517,0.9152542372881356,0.9346922968595972,40,per_n
S8,372,0.978494623655914,0.967741935483871,0.9753968253968254,40,per_n
